Datum,Uur,Aantal_check_ins
7-1-2023,22,71.4
7-1-2023,23,67.0
8-1-2023,0,32.9
8-1-2023,1,6.8
8-1-2023,2,3.0
8-1-2023,3,2.5
8-1-2023,4,2.6
8-1-2023,5,3.8
8-1-2023,6,4.6
8-1-2023,7,13.5
8-1-2023,8,27.6
8-1-2023,9,49.1
8-1-2023,10,68.1
8-1-2023,11,90.8
8-1-2023,12,109.1
8-1-2023,13,123.1
8-1-2023,14,126.8
8-1-2023,15,129.4
8-1-2023,16,128.7
8-1-2023,17,122.4
8-1-2023,18,99.3
8-1-2023,19,83.3
8-1-2023,20,71.7
8-1-2023,21,57.6
8-1-2023,22,43.2
8-1-2023,23,26.7
9-1-2023,0,8.1
9-1-2023,1,0.8
9-1-2023,2,0.2
9-1-2023,3,0.4
9-1-2023,4,1.5
9-1-2023,5,17.0
9-1-2023,6,99.3
9-1-2023,7,305.2
9-1-2023,8,383.7
9-1-2023,9,237.4
9-1-2023,10,179.8
9-1-2023,11,172.2
9-1-2023,12,207.8
9-1-2023,13,206.0
9-1-2023,14,246.5
9-1-2023,15,300.8
9-1-2023,16,345.6
9-1-2023,17,361.8
9-1-2023,18,190.8
9-1-2023,19,96.1
9-1-2023,20,70.0
9-1-2023,21,59.6
9-1-2023,22,48.5
9-1-2023,23,29.9
10-1-2023,0,9.0
10-1-2023,1,0.9
10-1-2023,2,0.3
10-1-2023,3,0.4
10-1-2023,4,1.4
10-1-2023,5,17.1
10-1-2023,6,107.2
10-1-2023,7,369.3
10-1-2023,8,442.9
10-1-2023,9,241.3
10-1-2023,10,180.2
10-1-2023,11,177.5
10-1-2023,12,225.4
10-1-2023,13,228.2
10-1-2023,14,276.1
10-1-2023,15,330.9
10-1-2023,16,368.3
10-1-2023,17,389.6
10-1-2023,18,213.7
10-1-2023,19,107.2
10-1-2023,20,76.7
10-1-2023,21,67.7
10-1-2023,22,58.2
10-1-2023,23,35.3
11-1-2023,0,10.8
11-1-2023,1,0.9
11-1-2023,2,0.3
11-1-2023,3,0.5
11-1-2023,4,1.4
11-1-2023,5,16.2
11-1-2023,6,93.1
11-1-2023,7,321.1
11-1-2023,8,390.5
11-1-2023,9,226.2
11-1-2023,10,177.9
11-1-2023,11,183.9
11-1-2023,12,235.5
11-1-2023,13,228.8
11-1-2023,14,261.9
11-1-2023,15,308.5
11-1-2023,16,339.7
11-1-2023,17,342.1
11-1-2023,18,196.0
11-1-2023,19,108.4
11-1-2023,20,80.1
11-1-2023,21,71.6
11-1-2023,22,61.9
11-1-2023,23,39.5
12-1-2023,0,12.3
12-1-2023,1,0.9
12-1-2023,2,0.4
12-1-2023,3,0.5
12-1-2023,4,1.6
12-1-2023,5,16.7
12-1-2023,6,105.5
12-1-2023,7,369.0
12-1-2023,8,465.1
12-1-2023,9,259.5
12-1-2023,10,188.4
12-1-2023,11,182.8
12-1-2023,12,229.6
12-1-2023,13,235.1
12-1-2023,14,285.3
12-1-2023,15,341.7
12-1-2023,16,379.3
12-1-2023,17,388.9
12-1-2023,18,231.5
12-1-2023,19,127.6
12-1-2023,20,94.0
12-1-2023,21,87.1
12-1-2023,22,77.3
12-1-2023,23,55.8
13-1-2023,0,18.1
13-1-2023,1,1.8
13-1-2023,2,0.7
13-1-2023,3,0.9
13-1-2023,4,2.0
13-1-2023,5,15.1
13-1-2023,6,77.5
13-1-2023,7,273.4
13-1-2023,8,350.7
13-1-2023,9,216.0
13-1-2023,10,176.5
13-1-2023,11,183.4
13-1-2023,12,234.0
13-1-2023,13,240.9
13-1-2023,14,279.8
13-1-2023,15,318.3
13-1-2023,16,314.1
13-1-2023,17,303.4
13-1-2023,18,215.5
13-1-2023,19,136.4
13-1-2023,20,102.2
13-1-2023,21,89.4
13-1-2023,22,87.3
13-1-2023,23,79.3
14-1-2023,0,40.5
14-1-2023,1,8.1
14-1-2023,2,3.1
14-1-2023,3,2.7
14-1-2023,4,2.6
14-1-2023,5,4.5
14-1-2023,6,13.5
14-1-2023,7,31.0
14-1-2023,8,58.8
14-1-2023,9,85.4
14-1-2023,10,100.1
14-1-2023,11,123.8
14-1-2023,12,145.4
14-1-2023,13,159.6
14-1-2023,14,161.6
14-1-2023,15,162.5
14-1-2023,16,168.5
14-1-2023,17,164.9
14-1-2023,18,132.5
14-1-2023,19,111.0
14-1-2023,20,87.7
14-1-2023,21,73.4
14-1-2023,22,78.2
14-1-2023,23,91.0
15-1-2023,0,43.7
15-1-2023,1,8.9
15-1-2023,2,3.6
15-1-2023,3,2.8
15-1-2023,4,3.3
15-1-2023,5,4.0
15-1-2023,6,4.8
15-1-2023,7,13.3
15-1-2023,8,27.8
15-1-2023,9,50.3
15-1-2023,10,70.9
15-1-2023,11,94.7
15-1-2023,12,117.3
15-1-2023,13,131.9
15-1-2023,14,137.2
15-1-2023,15,135.4
15-1-2023,16,129.3
15-1-2023,17,122.5
15-1-2023,18,103.6
15-1-2023,19,86.3
15-1-2023,20,74.4
15-1-2023,21,60.6
15-1-2023,22,46.7
15-1-2023,23,29.3
16-1-2023,0,8.6
16-1-2023,1,0.7
16-1-2023,2,0.3
16-1-2023,3,0.4
16-1-2023,4,1.5
16-1-2023,5,17.4
16-1-2023,6,103.7
16-1-2023,7,354.3
16-1-2023,8,445.3
16-1-2023,9,250.9
16-1-2023,10,190.3
16-1-2023,11,184.6
16-1-2023,12,225.1
16-1-2023,13,220.9
16-1-2023,14,264.7
16-1-2023,15,328.0
16-1-2023,16,368.1
16-1-2023,17,381.5
16-1-2023,18,208.4
16-1-2023,19,105.2
16-1-2023,20,74.8
16-1-2023,21,65.8
16-1-2023,22,56.7
16-1-2023,23,33.8
17-1-2023,0,9.9
17-1-2023,1,0.8
17-1-2023,2,0.3
17-1-2023,3,0.4
17-1-2023,4,1.4
17-1-2023,5,17.5
17-1-2023,6,107.9
17-1-2023,7,363.5
17-1-2023,8,444.4
17-1-2023,9,247.4
17-1-2023,10,188.4
17-1-2023,11,186.3
17-1-2023,12,232.6
17-1-2023,13,233.2
17-1-2023,14,272.8
17-1-2023,15,321.4
17-1-2023,16,363.8
17-1-2023,17,396.9
17-1-2023,18,222.3
17-1-2023,19,114.2
17-1-2023,20,83.1
17-1-2023,21,73.7
17-1-2023,22,62.4
17-1-2023,23,35.8
18-1-2023,0,10.6
18-1-2023,1,0.9
18-1-2023,2,0.3
18-1-2023,3,0.5
18-1-2023,4,1.6
18-1-2023,5,16.6
18-1-2023,6,93.8
18-1-2023,7,315.6
18-1-2023,8,393.2
18-1-2023,9,230.1
18-1-2023,10,184.5
18-1-2023,11,190.1
18-1-2023,12,240.1
18-1-2023,13,233.9
18-1-2023,14,261.1
18-1-2023,15,305.0
18-1-2023,16,343.0
18-1-2023,17,340.9
18-1-2023,18,200.5
18-1-2023,19,111.6
18-1-2023,20,83.2
18-1-2023,21,77.8
18-1-2023,22,68.7
18-1-2023,23,40.6
19-1-2023,0,14.1
19-1-2023,1,1.0
19-1-2023,2,0.4
19-1-2023,3,0.6
19-1-2023,4,1.6
19-1-2023,5,14.4
19-1-2023,6,76.5
19-1-2023,7,252.7
19-1-2023,8,332.2
19-1-2023,9,186.8
19-1-2023,10,142.6
19-1-2023,11,143.4
19-1-2023,12,174.1
19-1-2023,13,176.9
19-1-2023,14,202.5
19-1-2023,15,239.9
19-1-2023,16,276.3
19-1-2023,17,310.0
19-1-2023,18,197.4
19-1-2023,19,111.7
19-1-2023,20,82.0
19-1-2023,21,75.8
19-1-2023,22,66.9
19-1-2023,23,46.3
20-1-2023,0,15.1
20-1-2023,1,1.4
20-1-2023,2,0.8
20-1-2023,3,0.9
20-1-2023,4,1.9
20-1-2023,5,12.8
20-1-2023,6,59.9
20-1-2023,7,190.4
20-1-2023,8,260.5
20-1-2023,9,166.5
20-1-2023,10,138.1
20-1-2023,11,146.5
20-1-2023,12,180.3
20-1-2023,13,185.6
20-1-2023,14,209.6
20-1-2023,15,236.0
20-1-2023,16,244.6
20-1-2023,17,250.4
20-1-2023,18,185.2
20-1-2023,19,118.3
20-1-2023,20,88.8
20-1-2023,21,78.9
20-1-2023,22,78.8
20-1-2023,23,71.8
21-1-2023,0,35.7
21-1-2023,1,7.2
21-1-2023,2,2.5
21-1-2023,3,2.3
21-1-2023,4,2.7
21-1-2023,5,4.9
21-1-2023,6,14.3
21-1-2023,7,32.3
21-1-2023,8,61.9
21-1-2023,9,91.4
21-1-2023,10,112.0
21-1-2023,11,140.1
21-1-2023,12,165.8
21-1-2023,13,182.6
21-1-2023,14,184.7
21-1-2023,15,184.5
21-1-2023,16,186.6
21-1-2023,17,181.4
21-1-2023,18,146.7
21-1-2023,19,112.8
21-1-2023,20,90.9
21-1-2023,21,79.7
21-1-2023,22,84.3
21-1-2023,23,80.1
22-1-2023,0,40.8
22-1-2023,1,8.2
22-1-2023,2,3.4
22-1-2023,3,2.9
22-1-2023,4,3.2
22-1-2023,5,4.2
22-1-2023,6,5.0
22-1-2023,7,13.6
22-1-2023,8,28.9
22-1-2023,9,52.6
22-1-2023,10,73.7
22-1-2023,11,100.4
22-1-2023,12,122.3
22-1-2023,13,138.5
22-1-2023,14,132.2
22-1-2023,15,126.4
22-1-2023,16,131.8
22-1-2023,17,131.3
22-1-2023,18,107.6
22-1-2023,19,90.6
22-1-2023,20,76.3
22-1-2023,21,61.9
22-1-2023,22,49.6
22-1-2023,23,30.1
23-1-2023,0,9.0
23-1-2023,1,0.6
23-1-2023,2,0.3
23-1-2023,3,0.4
23-1-2023,4,1.5
23-1-2023,5,17.6
23-1-2023,6,99.8
23-1-2023,7,320.1
23-1-2023,8,388.0
23-1-2023,9,220.2
23-1-2023,10,176.7
23-1-2023,11,183.3
23-1-2023,12,219.3
23-1-2023,13,215.9
23-1-2023,14,253.4
23-1-2023,15,302.1
23-1-2023,16,338.9
23-1-2023,17,347.2
23-1-2023,18,192.9
23-1-2023,19,101.3
23-1-2023,20,74.4
23-1-2023,21,64.9
23-1-2023,22,54.4
23-1-2023,23,32.4
24-1-2023,0,9.8
24-1-2023,1,0.8
24-1-2023,2,0.3
24-1-2023,3,0.4
24-1-2023,4,1.4
24-1-2023,5,17.6
24-1-2023,6,106.3
24-1-2023,7,345.0
24-1-2023,8,422.5
24-1-2023,9,239.0
24-1-2023,10,185.4
24-1-2023,11,187.5
24-1-2023,12,227.9
24-1-2023,13,228.4
24-1-2023,14,265.6
24-1-2023,15,305.3
24-1-2023,16,348.3
24-1-2023,17,377.7
24-1-2023,18,214.1
24-1-2023,19,110.8
24-1-2023,20,82.4
24-1-2023,21,73.7
24-1-2023,22,61.6
24-1-2023,23,36.8
25-1-2023,0,11.1
25-1-2023,1,0.9
25-1-2023,2,0.4
25-1-2023,3,0.4
25-1-2023,4,1.5
25-1-2023,5,16.5
25-1-2023,6,93.1
25-1-2023,7,300.2
25-1-2023,8,370.8
25-1-2023,9,222.4
25-1-2023,10,180.9
25-1-2023,11,190.8
25-1-2023,12,237.2
25-1-2023,13,232.3
25-1-2023,14,259.3
25-1-2023,15,294.2
25-1-2023,16,330.1
25-1-2023,17,341.6
25-1-2023,18,206.8
25-1-2023,19,115.6
25-1-2023,20,86.2
25-1-2023,21,78.4
25-1-2023,22,69.6
25-1-2023,23,49.4
26-1-2023,0,14.3
26-1-2023,1,1.0
26-1-2023,2,0.4
26-1-2023,3,0.6
26-1-2023,4,1.6
26-1-2023,5,17.4
26-1-2023,6,101.0
26-1-2023,7,334.2
26-1-2023,8,422.5
26-1-2023,9,246.5
26-1-2023,10,191.3
26-1-2023,11,193.3
26-1-2023,12,234.6
26-1-2023,13,237.6
26-1-2023,14,273.7
26-1-2023,15,317.0
26-1-2023,16,355.6
26-1-2023,17,375.4
26-1-2023,18,235.6
26-1-2023,19,142.2
26-1-2023,20,103.9
26-1-2023,21,95.7
26-1-2023,22,84.3
26-1-2023,23,69.2
27-1-2023,0,21.5
27-1-2023,1,2.1
27-1-2023,2,0.8
27-1-2023,3,1.1
27-1-2023,4,2.2
27-1-2023,5,16.1
27-1-2023,6,76.6
27-1-2023,7,245.9
27-1-2023,8,318.0
27-1-2023,9,203.3
27-1-2023,10,178.0
27-1-2023,11,192.1
27-1-2023,12,241.1
27-1-2023,13,246.3
27-1-2023,14,278.7
27-1-2023,15,300.7
27-1-2023,16,304.0
27-1-2023,17,300.4
27-1-2023,18,223.0
27-1-2023,19,146.8
27-1-2023,20,113.0
27-1-2023,21,99.8
27-1-2023,22,94.4
27-1-2023,23,87.3
28-1-2023,0,43.2
28-1-2023,1,8.2
28-1-2023,2,3.3
28-1-2023,3,2.6
28-1-2023,4,3.0
28-1-2023,5,4.9
28-1-2023,6,14.2
28-1-2023,7,32.5
28-1-2023,8,64.0
28-1-2023,9,94.5
28-1-2023,10,115.9
28-1-2023,11,143.1
28-1-2023,12,167.2
28-1-2023,13,185.5
28-1-2023,14,190.8
28-1-2023,15,189.0
28-1-2023,16,189.9
28-1-2023,17,181.8
28-1-2023,18,149.4
28-1-2023,19,116.8
28-1-2023,20,95.1
28-1-2023,21,83.6
28-1-2023,22,92.2
28-1-2023,23,86.8
29-1-2023,0,42.6
29-1-2023,1,9.2
29-1-2023,2,3.7
29-1-2023,3,3.3
29-1-2023,4,3.5
29-1-2023,5,4.3
29-1-2023,6,6.3
29-1-2023,7,18.0
29-1-2023,8,31.9
29-1-2023,9,54.2
29-1-2023,10,74.6
29-1-2023,11,100.2
29-1-2023,12,119.2
29-1-2023,13,134.4
29-1-2023,14,136.3
29-1-2023,15,131.8
29-1-2023,16,134.2
29-1-2023,17,129.4
29-1-2023,18,107.4
29-1-2023,19,90.5
29-1-2023,20,77.7
29-1-2023,21,63.2
29-1-2023,22,47.0
29-1-2023,23,32.3
30-1-2023,0,9.4
30-1-2023,1,0.7
30-1-2023,2,0.3
30-1-2023,3,0.4
30-1-2023,4,1.6
30-1-2023,5,17.4
30-1-2023,6,98.3
30-1-2023,7,316.1
30-1-2023,8,383.8
30-1-2023,9,213.0
30-1-2023,10,173.9
30-1-2023,11,181.3
30-1-2023,12,220.1
30-1-2023,13,214.2
30-1-2023,14,250.2
30-1-2023,15,298.5
30-1-2023,16,336.5
30-1-2023,17,342.9
30-1-2023,18,197.3
30-1-2023,19,102.1
30-1-2023,20,75.9
30-1-2023,21,65.4
30-1-2023,22,54.2
30-1-2023,23,31.6
31-1-2023,0,9.5
31-1-2023,1,0.9
31-1-2023,2,0.3
31-1-2023,3,0.5
31-1-2023,4,1.5
31-1-2023,5,17.7
31-1-2023,6,106.0
31-1-2023,7,345.3
31-1-2023,8,421.5
31-1-2023,9,230.0
31-1-2023,10,177.3
31-1-2023,11,184.6
31-1-2023,12,228.1
31-1-2023,13,225.1
31-1-2023,14,261.9
31-1-2023,15,302.2
31-1-2023,16,345.7
31-1-2023,17,376.3
31-1-2023,18,215.5
31-1-2023,19,113.0
31-1-2023,20,84.1
31-1-2023,21,75.3
31-1-2023,22,62.4
31-1-2023,23,36.2
1-2-2023,0,11.2
1-2-2023,1,1.0
1-2-2023,2,0.4
1-2-2023,3,0.6
1-2-2023,4,1.7
1-2-2023,5,17.0
1-2-2023,6,94.3
1-2-2023,7,307.8
1-2-2023,8,380.4
1-2-2023,9,218.4
1-2-2023,10,173.6
1-2-2023,11,190.0
1-2-2023,12,236.9
1-2-2023,13,225.5
1-2-2023,14,253.9
1-2-2023,15,293.5
1-2-2023,16,325.0
1-2-2023,17,336.6
1-2-2023,18,201.7
1-2-2023,19,110.0
1-2-2023,20,83.1
1-2-2023,21,75.7
1-2-2023,22,66.1
1-2-2023,23,40.8
2-2-2023,0,12.9
2-2-2023,1,1.0
2-2-2023,2,0.4
2-2-2023,3,0.5
2-2-2023,4,1.7
2-2-2023,5,17.5
2-2-2023,6,100.7
2-2-2023,7,330.4
2-2-2023,8,412.5
2-2-2023,9,229.5
2-2-2023,10,176.0
2-2-2023,11,183.2
2-2-2023,12,222.7
2-2-2023,13,225.9
2-2-2023,14,268.2
2-2-2023,15,307.1
2-2-2023,16,345.0
2-2-2023,17,367.3
2-2-2023,18,226.7
2-2-2023,19,125.7
2-2-2023,20,96.0
2-2-2023,21,90.2
2-2-2023,22,78.8
2-2-2023,23,53.1
3-2-2023,0,17.6
3-2-2023,1,2.0
3-2-2023,2,0.9
3-2-2023,3,1.3
3-2-2023,4,2.4
3-2-2023,5,16.3
3-2-2023,6,78.3
3-2-2023,7,250.8
3-2-2023,8,316.6
3-2-2023,9,200.3
3-2-2023,10,173.1
3-2-2023,11,192.4
3-2-2023,12,240.6
3-2-2023,13,240.0
3-2-2023,14,275.3
3-2-2023,15,300.0
3-2-2023,16,304.0
3-2-2023,17,298.2
3-2-2023,18,221.5
3-2-2023,19,144.9
3-2-2023,20,110.6
3-2-2023,21,99.2
3-2-2023,22,94.6
3-2-2023,23,84.8
4-2-2023,0,42.1
4-2-2023,1,8.5
4-2-2023,2,3.6
4-2-2023,3,3.2
4-2-2023,4,3.5
4-2-2023,5,5.4
4-2-2023,6,15.1
4-2-2023,7,33.7
4-2-2023,8,64.6
4-2-2023,9,94.4
4-2-2023,10,114.4
4-2-2023,11,143.2
4-2-2023,12,167.2
4-2-2023,13,181.1
4-2-2023,14,181.4
4-2-2023,15,179.0
4-2-2023,16,181.2
4-2-2023,17,174.5
4-2-2023,18,142.4
4-2-2023,19,112.0
4-2-2023,20,92.4
4-2-2023,21,82.1
4-2-2023,22,85.1
4-2-2023,23,78.9
5-2-2023,0,43.1
5-2-2023,1,9.1
5-2-2023,2,4.2
5-2-2023,3,3.6
5-2-2023,4,4.1
5-2-2023,5,4.6
5-2-2023,6,5.4
5-2-2023,7,15.6
5-2-2023,8,33.3
5-2-2023,9,58.0
5-2-2023,10,78.2
5-2-2023,11,104.8
5-2-2023,12,125.2
5-2-2023,13,139.2
5-2-2023,14,138.9
5-2-2023,15,134.3
5-2-2023,16,136.3
5-2-2023,17,138.1
5-2-2023,18,115.3
5-2-2023,19,96.0
5-2-2023,20,80.9
5-2-2023,21,65.5
5-2-2023,22,51.7
5-2-2023,23,30.2
6-2-2023,0,8.9
6-2-2023,1,0.8
6-2-2023,2,0.3
6-2-2023,3,0.4
6-2-2023,4,1.3
6-2-2023,5,13.2
6-2-2023,6,72.3
6-2-2023,7,238.9
6-2-2023,8,313.7
6-2-2023,9,170.1
6-2-2023,10,131.0
6-2-2023,11,129.8
6-2-2023,12,158.9
6-2-2023,13,156.7
6-2-2023,14,185.1
6-2-2023,15,226.6
6-2-2023,16,261.7
6-2-2023,17,287.0
6-2-2023,18,163.3
6-2-2023,19,84.4
6-2-2023,20,60.1
6-2-2023,21,52.0
6-2-2023,22,44.2
6-2-2023,23,24.8
7-2-2023,0,7.6
7-2-2023,1,0.6
7-2-2023,2,0.3
7-2-2023,3,0.4
7-2-2023,4,1.2
7-2-2023,5,13.1
7-2-2023,6,76.6
7-2-2023,7,261.6
7-2-2023,8,341.3
7-2-2023,9,184.8
7-2-2023,10,135.2
7-2-2023,11,133.6
7-2-2023,12,165.6
7-2-2023,13,168.9
7-2-2023,14,199.3
7-2-2023,15,234.7
7-2-2023,16,271.2
7-2-2023,17,313.0
7-2-2023,18,184.3
7-2-2023,19,93.1
7-2-2023,20,66.1
7-2-2023,21,59.3
7-2-2023,22,49.4
7-2-2023,23,28.5
8-2-2023,0,8.2
8-2-2023,1,0.6
8-2-2023,2,0.4
8-2-2023,3,0.3
8-2-2023,4,1.1
8-2-2023,5,12.2
8-2-2023,6,66.8
8-2-2023,7,220.9
8-2-2023,8,292.4
8-2-2023,9,169.3
8-2-2023,10,131.2
8-2-2023,11,137.0
8-2-2023,12,171.3
8-2-2023,13,169.3
8-2-2023,14,188.6
8-2-2023,15,223.7
8-2-2023,16,254.3
8-2-2023,17,276.1
8-2-2023,18,171.6
8-2-2023,19,94.3
8-2-2023,20,68.5
8-2-2023,21,62.3
8-2-2023,22,55.5
8-2-2023,23,35.3
9-2-2023,0,11.2
9-2-2023,1,0.8
9-2-2023,2,0.4
9-2-2023,3,0.5
9-2-2023,4,1.1
9-2-2023,5,12.9
9-2-2023,6,74.0
9-2-2023,7,250.5
9-2-2023,8,332.0
9-2-2023,9,183.4
9-2-2023,10,138.6
9-2-2023,11,137.0
9-2-2023,12,169.0
9-2-2023,13,170.3
9-2-2023,14,195.2
9-2-2023,15,239.5
9-2-2023,16,273.9
9-2-2023,17,300.2
9-2-2023,18,186.6
9-2-2023,19,103.0
9-2-2023,20,75.0
9-2-2023,21,74.2
9-2-2023,22,66.2
9-2-2023,23,41.3
10-2-2023,0,13.6
10-2-2023,1,1.3
10-2-2023,2,0.7
10-2-2023,3,0.9
10-2-2023,4,1.8
10-2-2023,5,11.8
10-2-2023,6,55.9
10-2-2023,7,181.1
10-2-2023,8,249.4
10-2-2023,9,158.1
10-2-2023,10,132.6
10-2-2023,11,140.2
10-2-2023,12,176.0
10-2-2023,13,180.9
10-2-2023,14,209.1
10-2-2023,15,238.1
10-2-2023,16,246.4
10-2-2023,17,249.9
10-2-2023,18,183.5
10-2-2023,19,116.3
10-2-2023,20,85.0
10-2-2023,21,77.9
10-2-2023,22,85.8
10-2-2023,23,69.5
11-2-2023,0,32.9
11-2-2023,1,6.5
11-2-2023,2,2.9
11-2-2023,3,2.5
11-2-2023,4,2.7
11-2-2023,5,5.1
11-2-2023,6,16.0
11-2-2023,7,36.8
11-2-2023,8,65.6
11-2-2023,9,95.8
11-2-2023,10,114.1
11-2-2023,11,141.4
11-2-2023,12,160.2
11-2-2023,13,173.9
11-2-2023,14,175.5
11-2-2023,15,172.0
11-2-2023,16,172.8
11-2-2023,17,168.0
11-2-2023,18,139.2
11-2-2023,19,111.1
11-2-2023,20,88.1
11-2-2023,21,78.4
11-2-2023,22,82.9
11-2-2023,23,75.0
12-2-2023,0,38.9
12-2-2023,1,8.1
12-2-2023,2,3.7
12-2-2023,3,3.3
12-2-2023,4,3.6
12-2-2023,5,4.5
12-2-2023,6,5.4
12-2-2023,7,15.5
12-2-2023,8,30.3
12-2-2023,9,54.2
12-2-2023,10,73.8
12-2-2023,11,98.9
12-2-2023,12,116.8
12-2-2023,13,133.9
12-2-2023,14,135.9
12-2-2023,15,134.4
12-2-2023,16,129.3
12-2-2023,17,123.6
12-2-2023,18,108.8
12-2-2023,19,96.1
12-2-2023,20,77.7
12-2-2023,21,61.0
12-2-2023,22,46.1
12-2-2023,23,27.1
13-2-2023,0,8.2
13-2-2023,1,0.7
13-2-2023,2,0.4
13-2-2023,3,0.4
13-2-2023,4,1.7
13-2-2023,5,17.6
13-2-2023,6,101.5
13-2-2023,7,342.3
13-2-2023,8,420.8
13-2-2023,9,231.2
13-2-2023,10,180.1
13-2-2023,11,177.3
13-2-2023,12,222.8
13-2-2023,13,218.1
13-2-2023,14,258.7
13-2-2023,15,321.0
13-2-2023,16,362.0
13-2-2023,17,370.7
13-2-2023,18,204.9
13-2-2023,19,108.4
13-2-2023,20,76.7
13-2-2023,21,66.3
13-2-2023,22,55.4
13-2-2023,23,34.7
14-2-2023,0,9.5
14-2-2023,1,0.9
14-2-2023,2,0.4
14-2-2023,3,0.4
14-2-2023,4,1.5
14-2-2023,5,17.5
14-2-2023,6,107.0
14-2-2023,7,369.6
14-2-2023,8,456.0
14-2-2023,9,252.8
14-2-2023,10,189.9
14-2-2023,11,186.4
14-2-2023,12,236.0
14-2-2023,13,237.3
14-2-2023,14,281.2
14-2-2023,15,334.1
14-2-2023,16,378.3
14-2-2023,17,407.7
